RptDt;TckrSymb;SctyId;SctySrc;MktIdrCd;ISIN;FrstPric;MinPric;MaxPric;TradAvrgPric;LastPric;OscnPctg;TradQty;MktDataStrmId;NtlFinVol;IntlFinVol;FinInstrmQty;BestBidPric;BestAskPric;RglrTxsQty;NtlRglrVol;IntlRglrVol;MaxTradLmt;MinTradLmt;OpnIntrst;NonRglrTxsQty;RglrTraddCtrcts;NonRglrTraddCtrcts;NtlNonRglrVol;IntlNonRglrVol;NovaColunaRodboza
25/06/2018;AETB34;2E+11;8;BVMF;BRAETBBDR009;;;;;723.43;;;;;;;;;;;;;;;;;;;;Rodboza fodao - AETB34
25/06/2018;AETB34F;2E+11;8;BVMF;BRAETBBDR009;714.26;714.26;714.26;714.26;714.26;-1.26;1;Electronic (default);30713.18;8153;43;;;1;30713.18;8153;;;;;43;;;;Rodboza fodao - AETB34F
25/06/2018;AFCF11;10035249;8;BVMF;BRAFCFCTF010;;;;;;;;;;;;;;;;;;;;;;;;;Rodboza fodao - AFCF11
25/06/2018;AFCV12;10035245;8;BVMF;BRAFCVCTF025;;;;;;;;;;;;;;;;;;;;;;;;;Rodboza fodao - AFCV12
25/06/2018;AFLT3;2E+11;8;BVMF;BRAFLTACNOR1;;;;;6.99;;;;;;;5;6.98;;;;;;;;;;;;Rodboza fodao - AFLT3
25/06/2018;AFLT3F;2E+11;8;BVMF;BRAFLTACNOR1;;;;;6.99;;;;;;;;6.98;;;;;;;;;;;;Rodboza fodao - AFLT3F
25/06/2018;AGBK10;2E+11;8;BVMF;BRAGBKR01PR1;;;;;;;;;;;;;;;;;;;;;;;;;Rodboza fodao - AGBK10
25/06/2018;AGBK11;2E+11;8;BVMF;BRAGBKCDAM10;;;;;;;;;;;;;;;;;;;;;;;;;Rodboza fodao - AGBK11
25/06/2018;AGBK4;2E+11;8;BVMF;BRAGBKACNPR6;;;;;;;;;;;;;;;;;;;;;;;;;Rodboza fodao - AGBK4
25/06/2018;AGCX11;2E+11;8;BVMF;BRAGCXCTF003;1040;1020;1043;1030.6;1030;-1.62;54;Electronic (default);329792.23;87545.38;320;1030;1038.84;54;329792.23;87545.38;;;;;320;;;;Rodboza fodao - AGCX11
25/06/2018;AGRA4;10014630;8;BVMF;BRAGRAACNPR3;;;;;;;;;;;;;;;;;;;;;;;;;Rodboza fodao - AGRA4
25/06/2018;AGRO3;2E+11;8;BVMF;BRAGROACNOR7;13.52;13.38;13.52;13.45;13.41;-0.07;218;Electronic (default);552805;146745.5;41100;13.41;13.45;218;552805;146745.5;;;;;41100;;;;Rodboza fodao - AGRO3
25/06/2018;AGRO3F;2E+11;8;BVMF;BRAGROACNOR7;13.01;13.01;13.5;13.33;13.4;-0.14;7;Electronic (default);1213.79;322.2;91;13.4;13.55;7;1213.79;322.2;;;;;91;;;;Rodboza fodao - AGRO3F
25/06/2018;AHEB3;10022102;8;BVMF;BRAHEBACNOR0;;;;;155.01;;;;;;;;400;;;;;;;;;;;;Rodboza fodao - AHEB3
25/06/2018;AHEB3F;10022253;8;BVMF;BRAHEBACNOR0;;;;;130;;;;;;;51;180;;;;;;;;;;;;Rodboza fodao - AHEB3F
25/06/2018;AHEB5;10022246;8;BVMF;BRAHEBACNPA3;;;;;95.61;;;;;;;;400;;;;;;;;;;;;Rodboza fodao - AHEB5
25/06/2018;AHEB5F;10022255;8;BVMF;BRAHEBACNPA3;;;;;52.52;;;;;;;51;;;;;;;;;;;;;Rodboza fodao - AHEB5F
25/06/2018;AHEB6;10022248;8;BVMF;BRAHEBACNPB1;;;;;80;;;;;;;;;;;;;;;;;;;;Rodboza fodao - AHEB6
25/06/2018;AHEB6F;10022251;8;BVMF;BRAHEBACNPB1;;;;;80;;;;;;;51;;;;;;;;;;;;;Rodboza fodao - AHEB6F
25/06/2018;AIGB34;2E+11;8;BVMF;BRAIGBBDR007;205.15;205.15;205.15;205.15;205.15;-0.95;1;Electronic (default);20515;5445.83;100;;;1;20515;5445.83;;;;;100;;;;Rodboza fodao - AIGB34
25/06/2018;AIGB34F;2E+11;8;BVMF;BRAIGBBDR007;;;;;206.689.169;;;;;;;;;;;;;;;;;;;;Rodboza fodao - AIGB34F
25/06/2018;ALEF3B;2E+11;8;BVMF;BRALEFACNOR3;;;;;0;;;;;;;;;;;;;;;;;;;;Rodboza fodao - ALEF3B
25/06/2018;ALEF3BF;2E+11;8;BVMF;BRALEFACNOR3;;;;;0;;;;;;;;;;;;;;;;;;;;Rodboza fodao - ALEF3BF
25/06/2018;ALMI11;2E+11;8;BVMF;BRALMICTF003;1370.1;1340;1380;1351.72;1341.01;-2.11;47;Electronic (default);118951.7;31576.46;88;1341.01;1380;47;118951.7;31576.46;;;;;88;;;;Rodboza fodao - ALMI11
25/06/2018;ALPA3;2E+11;8;BVMF;BRALPAACNOR0;;;;;11;;;;;;;9;11.5;;;;;;;;;;;;Rodboza fodao - ALPA3
25/06/2018;ALPA3F;2E+11;8;BVMF;BRALPAACNOR0;10.8;10.8;10.8;10.8;10.8;-1.81;2;Electronic (default);464.4;123.27;43;10.77;13.19;2;464.4;123.27;;;;;43;;;;Rodboza fodao - ALPA3F
25/06/2018;ALPA4;2E+11;8;BVMF;BRALPAACNPR7;12.07;11.74;12.09;11.82;11.75;-2.08;1913;Electronic (default);4539721;1205097.02;383900;11.75;11.84;1913;4539721;1205097.02;;;;;383900;;;;Rodboza fodao - ALPA4
25/06/2018;ALPA4F;2E+11;8;BVMF;BRALPAACNPR7;12.07;11.76;12.07;11.87;11.91;-0.75;28;Electronic (default);7091.09;1882.37;597;11.7;11.91;28;7091.09;1882.37;;;;;597;;;;Rodboza fodao - ALPA4F
25/06/2018;ALSC3;2E+11;8;BVMF;BRALSCACNOR0;13.49;13.49;13.87;13.67;13.7;0.43;2073;Electronic (default);11944625;3170774.6;873300;13.7;13.8;2073;11944625;3170774.6;;;;;873300;;;;Rodboza fodao - ALSC3
25/06/2018;ALSC3F;2E+11;8;BVMF;BRALSCACNOR0;13.71;13.63;13.86;13.7;13.81;1.24;6;Electronic (default);5427.9;1440.86;396;13.62;14;6;5427.9;1440.86;;;;;396;;;;Rodboza fodao - ALSC3F
25/06/2018;ALUP11;2E+11;8;BVMF;BRALUPCDAM15;15.23;14.89;15.29;15.09;15.1;-0.33;2446;Electronic (default);11684961;3101845.18;774000;15.1;15.22;2446;11684961;3101845.18;;;;;774000;;;;Rodboza fodao - ALUP11
25/06/2018;ALUP11F;2E+11;8;BVMF;BRALUPCDAM15;15.37;14.91;15.37;15.09;14.91;-1.58;27;Electronic (default);8663.11;2299.67;574;14.91;15.16;23;8141.51;2161.21;;;;4;539;35;521.6;138.46;Rodboza fodao - ALUP11F
25/06/2018;ALUP3;2E+11;8;BVMF;BRALUPACNOR8;6;5.81;6.13;5.99;5.81;-3.16;13;Electronic (default);19173;5089.59;3200;5.8;6.1;13;19173;5089.59;;;;;3200;;;;Rodboza fodao - ALUP3
25/06/2018;ALUP3F;2E+11;8;BVMF;BRALUPACNOR8;;;;;8.2;;;;;;;5.01;8.2;;;;;;;;;;;;Rodboza fodao - ALUP3F
25/06/2018;ALUP4;2E+11;8;BVMF;BRALUPACNPR5;;;;;4.5;;;;;;;4.11;5;;;;;;;;;;;;Rodboza fodao - ALUP4
25/06/2018;ALUP4F;2E+11;8;BVMF;BRALUPACNPR5;;;;;4.5;;;;;;;4.3;5.5;;;;;;;;;;;;Rodboza fodao - ALUP4F
25/06/2018;ALZR11;2E+11;8;BVMF;BRALZRCTF006;94.98;93.25;95.59;94.93;93.25;0.43;52;Electronic (default);115919.75;30771.61;1221;93.25;94.99;52;115919.75;30771.61;;;;;1221;;;;Rodboza fodao - ALZR11
25/06/2018;AMAR3;10031928;8;BVMF;BRAMARACNOR4;3.98;3.79;3.98;3.86;3.83;-3.03;1646;Electronic (default);2254734;598533.08;582800;3.83;3.85;1646;2254734;598533.08;;;;;582800;;;;Rodboza fodao - AMAR3
25/06/2018;AMAR3F;10031933;8;BVMF;BRAMARACNOR4;4.09;3.82;4.09;3.89;3.83;-3.03;28;Electronic (default);3470.08;921.15;890;3.75;3.95;28;3470.08;921.15;;;;;890;;;;Rodboza fodao - AMAR3F
25/06/2018;AMGN34;2E+11;8;BVMF;BRAMGNBDR004;704.44;704.44;704.44;704.44;704.44;0.48;1;Electronic (default);70444;18699.79;100;;;1;70444;18699.79;;;;;100;;;;Rodboza fodao - AMGN34
25/06/2018;AMGN34F;2E+11;8;BVMF;BRAMGNBDR004;697.59;697.59;697.59;697.59;697.59;-0.49;1;Electronic (default);49528.89;13147.75;71;;;1;49528.89;13147.75;;;;;71;;;;Rodboza fodao - AMGN34F
25/06/2018;AMZO34;10026547;8;BVMF;BRAMZOBDR002;3179.97;3127.97;3179.97;3145.99;3127.97;-3.92;3;Electronic (default);1258397;334049.26;400;3088.86;3151.26;3;1258397;334049.26;;;;;400;;;;Rodboza fodao - AMZO34
25/06/2018;AMZO34F;10026555;8;BVMF;BRAMZOBDR002;3320.01;3120.24;3320.01;3130.9;3120.24;-4.16;6;Electronic (default);391362.93;103889.71;125;3120;5000;6;391362.93;103889.71;;;;;125;;;;Rodboza fodao - AMZO34F
25/06/2018;ANCR11B;2E+11;8;BVMF;BRANCRCTF001;;;;;2300;;;;;;;2000.01;;;;;;;;;;;;;Rodboza fodao - ANCR11B
25/06/2018;ANDG3B;2E+11;8;BVMF;BRANDGACNOR9;;;;;0;;;;;;;;;;;;;;;;;;;;Rodboza fodao - ANDG3B
25/06/2018;ANDG3BF;2E+11;8;BVMF;BRANDGACNOR9;;;;;0;;;;;;;;;;;;;;;;;;;;Rodboza fodao - ANDG3BF
25/06/2018;ANDG4B;2E+11;8;BVMF;BRANDGACNPR6;;;;;0;;;;;;;;;;;;;;;;;;;;Rodboza fodao - ANDG4B
25/06/2018;ANDG4BF;2E+11;8;BVMF;BRANDGACNPR6;;;;;0;;;;;;;;;;;;;;;;;;;;Rodboza fodao - ANDG4BF
25/06/2018;ANDV34;2E+11;8;BVMF;BRANDVBDR002;;;;;1.869.427.345;;;;;;;;;;;;;;;;;;;;Rodboza fodao - ANDV34
25/06/2018;ANDV34F;2E+11;8;BVMF;BRANDVBDR002;;;;;1.869.427.345;;;;;;;;;;;;;;;;;;;;Rodboza fodao - ANDV34F
